DATE,NASDAQCOM
10/3/2012,3135.23
10/4/2012,3149.46
10/5/2012,3136.19
10/8/2012,3112.35
10/9/2012,3065.02
10/10/2012,3051.78
10/11/2012,3049.41
10/12/2012,3044.11
10/15/2012,3064.18
10/16/2012,3101.17
10/17/2012,3104.12
10/18/2012,3072.87
10/19/2012,3005.62
10/22/2012,3016.96
10/23/2012,2990.46
10/24/2012,2981.7
10/25/2012,2986.12
10/26/2012,2987.95
10/29/2012,.
10/30/2012,.
10/31/2012,2977.23
11/1/2012,3020.06
11/2/2012,2982.13
11/5/2012,2999.66
11/6/2012,3011.93
11/7/2012,2937.29
11/8/2012,2895.58
11/9/2012,2904.87
11/12/2012,2904.26
11/13/2012,2883.89
11/14/2012,2846.81
11/15/2012,2836.94
11/16/2012,2853.13
11/19/2012,2916.07
11/20/2012,2916.68
11/21/2012,2926.55
11/22/2012,.
11/23/2012,2966.85
11/26/2012,2976.78
11/27/2012,2967.79
11/28/2012,2991.78
11/29/2012,3012.03
11/30/2012,3010.24
12/3/2012,3002.2
12/4/2012,2996.69
12/5/2012,2973.7
12/6/2012,2989.27
12/7/2012,2978.04
12/10/2012,2986.96
12/11/2012,3022.3
12/12/2012,3013.81
12/13/2012,2992.16
12/14/2012,2971.33
12/17/2012,3010.6
12/18/2012,3054.53
12/19/2012,3044.36
12/20/2012,3050.39
12/21/2012,3021.01
12/24/2012,3012.6
12/25/2012,.
12/26/2012,2990.16
12/27/2012,2985.91
12/28/2012,2960.31
12/31/2012,3019.51
1/1/2013,.
1/2/2013,3112.26
1/3/2013,3100.57
1/4/2013,3101.66
1/7/2013,3098.81
1/8/2013,3091.81
1/9/2013,3105.81
1/10/2013,3121.76
1/11/2013,3125.63
1/14/2013,3117.5
1/15/2013,3110.78
1/16/2013,3117.54
1/17/2013,3136
1/18/2013,3134.71
1/21/2013,.
1/22/2013,3143.18
1/23/2013,3153.67
1/24/2013,3130.38
1/25/2013,3149.71
1/28/2013,3154.3
1/29/2013,3153.66
1/30/2013,3142.31
1/31/2013,3142.13
2/1/2013,3179.1
2/4/2013,3131.17
2/5/2013,3171.58
2/6/2013,3168.48
2/7/2013,3165.13
2/8/2013,3193.87
2/11/2013,3192
2/12/2013,3186.49
2/13/2013,3196.88
2/14/2013,3198.66
2/15/2013,3192.03
2/18/2013,.
2/19/2013,3213.59
2/20/2013,3164.41
2/21/2013,3131.49
2/22/2013,3161.82
2/25/2013,3116.25
2/26/2013,3129.65
2/27/2013,3162.26
2/28/2013,3160.19
3/1/2013,3169.74
3/4/2013,3182.03
3/5/2013,3224.13
3/6/2013,3222.37
3/7/2013,3232.09
3/8/2013,3244.37
3/11/2013,3252.87
3/12/2013,3242.32
3/13/2013,3245.12
3/14/2013,3258.93
3/15/2013,3249.07
3/18/2013,3237.59
3/19/2013,3229.1
3/20/2013,3254.19
3/21/2013,3222.6
3/22/2013,3245
3/25/2013,3235.3
3/26/2013,3252.48
3/27/2013,3256.52
3/28/2013,3267.52
3/29/2013,.
4/1/2013,3239.17
4/2/2013,3254.86
4/3/2013,3218.6
4/4/2013,3224.98
4/5/2013,3203.86
4/8/2013,3222.25
4/9/2013,3237.86
4/10/2013,3297.25
4/11/2013,3300.16
4/12/2013,3294.95
4/15/2013,3216.49
4/16/2013,3264.63
4/17/2013,3204.67
4/18/2013,3166.36
4/19/2013,3206.06
4/22/2013,3233.55
4/23/2013,3269.33
4/24/2013,3269.65
4/25/2013,3289.99
4/26/2013,3279.26
4/29/2013,3307.02
4/30/2013,3328.79
5/1/2013,3299.13
5/2/2013,3340.62
5/3/2013,3378.63
5/6/2013,3392.97
5/7/2013,3396.63
5/8/2013,3413.27
5/9/2013,3409.17
5/10/2013,3436.58
5/13/2013,3438.79
5/14/2013,3462.61
5/15/2013,3471.62
5/16/2013,3465.24
5/17/2013,3498.97
5/20/2013,3496.43
5/21/2013,3502.12
5/22/2013,3463.3
5/23/2013,3459.42
5/24/2013,3459.14
5/27/2013,.
5/28/2013,3488.89
5/29/2013,3467.52
5/30/2013,3491.3
5/31/2013,3455.91
6/3/2013,3465.37
6/4/2013,3445.26
6/5/2013,3401.48
6/6/2013,3424.05
6/7/2013,3469.22
6/10/2013,3473.77
6/11/2013,3436.95
6/12/2013,3400.43
6/13/2013,3445.37
6/14/2013,3423.56
6/17/2013,3452.13
6/18/2013,3482.18
6/19/2013,3443.2
6/20/2013,3364.63
6/21/2013,3357.25
6/24/2013,3320.76
6/25/2013,3347.89
6/26/2013,3376.22
6/27/2013,3401.86
6/28/2013,3403.25
7/1/2013,3434.49
7/2/2013,3433.4
7/3/2013,3443.67
7/4/2013,.
7/5/2013,3479.38
7/8/2013,3484.83
7/9/2013,3504.26
7/10/2013,3520.76
7/11/2013,3578.3
7/12/2013,3600.08
7/15/2013,3607.49
7/16/2013,3598.5
7/17/2013,3610
7/18/2013,3611.28
7/19/2013,3587.61
7/22/2013,3600.39
7/23/2013,3579.27
7/24/2013,3579.6
